pair_id,participant,thermal_tactile_symmetric_set_distance_mm
MH4,16,39.507538
MH4,17,22.359342
MH4,18,60.990023
MH4,19,61.774883
MH4,20,7.792304
MH4,21,6.029636
MH4,22,49.751136
MH4,23,4.109165
MH4,24,29.141509
MH5,1,65.857926
MH5,2,3.445516
MH5,3,56.285183
MH5,4,9.184141
MH5,5,70.753409
MH5,6,53.520215
MH5,7,29.297345
MH5,8,10.373201
MH5,9,17.541414
MH5,10,5.228839
MH5,11,9.179514
MH5,12,42.019487
MH5,13,16.683028
MH5,14,42.722350
MH5,15,53.960893
MH5,16,10.818905
MH5,17,22.409636
MH5,18,65.163066
MH5,19,37.387921
MH5,20,30.284156
MH5,21,22.238369
MH5,22,42.673318
MH5,23,12.259548
MH5,24,37.290228
BH1,1,27.043504
BH1,3,36.176309
BH1,4,25.489213
BH1,5,60.480727
BH1,7,49.604590
BH1,8,3.646683
BH1,9,77.685323
BH1,10,2.679848
BH1,12,12.167457
BH1,13,55.640871
BH1,14,41.247309
BH1,15,18.883004
BH1,16,23.760063
BH1,17,15.129496
BH1,18,39.690759
BH1,19,29.093835
BH1,20,7.238085
BH1,21,2.012134
BH1,22,38.009088
BH1,23,8.688068
BH1,24,50.021200
BH3,1,54.813324
BH3,3,12.402134
BH3,4,4.587763
BH3,5,54.805983
BH3,6,94.739443
BH3,7,28.947270
BH3,8,16.714678
BH3,9,20.216216
BH3,10,1.919717
BH3,11,5.656739
BH3,12,5.607999
BH3,13,40.705255
BH3,14,41.768768
BH3,15,38.670252
BH3,16,10.899256
BH3,17,37.956999
BH3,18,68.380697
BH3,19,31.888439
BH3,20,1.077694
BH3,21,4.246542
BH3,22,45.883904
BH3,23,44.646431
BH3,24,61.143658
BH5,1,70.296979
BH5,3,63.539122
BH5,4,4.448839
BH5,5,101.669656
BH5,7,80.876296
BH5,8,7.016180
BH5,9,30.339771
BH5,10,6.627317
BH5,11,0.617554
BH5,12,28.097086
BH5,13,35.493217
BH5,14,67.108447
BH5,15,23.214203
BH5,16,11.776841
BH5,17,2.775079
BH5,18,86.225553
BH5,19,53.150245
BH5,20,20.102478
BH5,21,0.630558
BH5,22,72.987154
BH5,23,57.056763
BH5,24,98.289962
DA1,1,16.093847
DA1,2,9.870143
DA1,3,16.889710
DA1,4,5.420836
DA1,5,63.560067
DA1,6,12.011364
DA1,7,35.007371
DA1,8,12.422116
DA1,9,59.859563
DA1,10,6.295213
DA1,11,1.347984
DA1,12,15.801973
DA1,13,18.557496
DA1,14,8.689592
DA1,15,16.152102
DA1,16,17.320414
DA1,17,25.572179
DA1,18,50.190433
DA1,19,20.134770
DA1,20,14.531110
DA1,21,12.237961
DA1,22,8.412411
DA1,23,24.353364
DA1,24,25.165185
DA3,1,51.273980
DA3,3,18.479001
DA3,4,6.280502
DA3,5,30.403637
DA3,6,49.457826
DA3,7,25.812430
DA3,8,2.088671
DA3,9,47.128126
DA3,10,6.201152
DA3,11,5.310119
DA3,12,54.940717
DA3,13,29.654872
DA3,14,51.173269
DA3,15,39.510579
DA3,16,9.281995
DA3,17,39.606804
DA3,18,35.050956
DA3,19,17.996876
DA3,20,1.324029
DA3,21,7.275706
DA3,22,39.502902
DA3,23,26.334398
DA3,24,19.997281
DA5,1,107.669709
DA5,3,84.615294
DA5,4,12.717408
DA5,5,70.554802
DA5,7,65.368782
DA5,8,7.434886
DA5,9,69.084973
DA5,10,12.982973
DA5,11,33.848648
DA5,12,21.425370
DA5,13,78.615806
DA5,14,66.020878
DA5,15,46.615078
DA5,17,18.211209
DA5,18,56.946033
DA5,19,105.054738
DA5,20,4.516538
DA5,21,0.866435
DA5,22,49.562897
DA5,23,63.250968
DA5,24,100.764713
DB1,1,14.717696
DB1,3,53.756659
DB1,4,11.248119
DB1,5,69.469015
DB1,6,77.693381
DB1,7,22.929670
DB1,8,8.099263
DB1,9,22.451892
DB1,10,10.347199
DB1,11,3.970544
DB1,12,27.417391
DB1,13,26.607689
DB1,14,10.689015
DB1,15,24.721623
DB1,16,9.364139
DB1,17,55.247839
DB1,18,40.266054
DB1,19,28.009879
DB1,20,16.254725
DB1,21,19.071896
DB1,22,27.760214
DB1,23,18.816037
DB1,24,35.679217
DB3,1,54.016736
DB3,2,40.851926
DB3,3,75.632968
DB3,4,9.961175
DB3,5,86.349893
DB3,6,37.847760
DB3,7,48.851930
DB3,8,9.696095
DB3,9,45.476716
DB3,10,37.496411
DB3,11,22.253249
DB3,12,76.713471
DB3,13,20.835471
DB3,14,75.666735
DB3,15,14.000096
DB3,16,23.128792
DB3,17,14.552389
DB3,18,67.113585
DB3,19,28.477826
DB3,20,20.988230
DB3,21,14.000645
DB3,22,10.234012
DB3,23,42.654502
DB3,24,55.583078
DB5,1,64.078505
DB5,2,40.241651
DB5,3,22.251948
DB5,4,5.707600
DB5,5,109.960010
DB5,6,58.089920
DB5,7,63.156769
DB5,8,40.178894
DB5,9,80.505464
DB5,10,63.436593
DB5,11,19.352055
DB5,12,28.281590
DB5,13,29.392220
DB5,14,58.418403
DB5,15,49.075188
DB5,16,33.742236
DB5,17,37.551405
DB5,18,79.887024
DB5,19,85.132065
DB5,20,47.274533
DB5,21,13.637823
DB5,22,87.976968
DB5,23,61.750500
DB5,24,54.145092
